Geneid	Chr	Start	End	Strand	Length	Starch_S232	Starch_S235	Fat_S238	Starch_S233	Fat_S237	Starch_S231	Fat_S239	Fat_S236	Fat_S240
radA-nadR	U00096.3	4625912	4628547	+	2636	31.50	29.50	27.50	28	11.50	26	26	21	24.50
radD	U00096.3	2280622	2282392	+	1771	9	19	7	7	2	6	6	6	11
raiAZ	U00096.3	2737104	2737552	+	449	1555.50	1897.50	1895	1753	1391	1658.50	1538	1462.50	1386
ralA	U00096.3	1413556	1413734	+	179	0	0	0.50	0	0	0	0	0	0.50
rapA	U00096.3	60358	63588	-	3231	8.67	11.33	6.50	13.67	4.67	8.00	9.00	8.00	6.33
rapA-rluA	U00096.3	59687	63358	-	3672	8.33	11.67	9.00	13.00	9.33	11.33	9.33	8.67	9.67
rarD	U00096.3	4003288	4004241	-	954	3.50	5	3	3.50	2	3.50	3	4.50	1
ratA-yfjF	U00096.3	2754008	2754764	-	757	64	54	83	47	53	51	54	56	44.50
ravA-viaA	U00096.3	3928152	3931128	-	2977	48	57.50	52.50	38.50	27.50	39.50	39.50	43	42
rayT	U00096.3	247544	248134	+	591	2	8	4	3	1	3	3	2	3
rbn	U00096.3	2381582	2382525	+	944	5	9.50	9.50	9.50	5.50	3	4	9	5.50
rbsDACBKR	U00096.3	3933322	3939219	+	5898	165	150	173.50	164	108	128.50	138.50	156	155
rclABC	U00096.3	317726	320215	-	2490	4	12	4	2.50	2	8	5.50	3.50	4
rclBC	U00096.3	317726	318567	-	842	0	2	1	0.50	0	1	0.50	0.50	0
rclR	U00096.3	320227	321081	+	855	1	0	1	2	0	0	0	0	0
rcnAB	U00096.3	2185827	2187298	+	1472	11	9	15	15	6.50	7	4	5.50	9
rcnB	U00096.3	2186884	2187298	+	415	5	5	7.50	5	3.50	3	2	2.50	4
rcnR	U00096.3	2185524	2185903	-	380	2	1	2.50	0	0	0	1	1	0
rcsA	U00096.3	2023836	2024591	+	756	3	5	2	10	5	9	1	2	2
rcsB	U00096.3	2315695	2316827	+	1133	69.50	83.50	85	65.50	53	70.50	52.50	64.50	70
rcsC	U00096.3	2317027	2319979	-	2953	13	16	20	17	12	9	12	12	15
rcsDB	U00096.3	2313452	2316827	+	3376	79.50	92.50	94	68.50	61	74.50	62.50	73.50	79
rcsF-trmO	U00096.3	218887	219995	-	1109	18	16	10	20	8	19	10	12	15
rdcAB	U00096.3	4327064	4330238	+	3175	8	5	4	5	2	3	0	2	3
rdgB-yggW	U00096.3	3096620	3098403	+	1784	15.50	16.50	21	16.50	10.50	15	15.50	15	15.50
rdgC	U00096.3	409108	410019	-	912	15	13	26	15	9	14	12	17	18
rdlB	U00096.3	1269856	1269923	+	68	0	0	0	0	0	0	0	0	0.50
rdlC	U00096.3	1270391	1270460	+	70	0	0.50	0	0	1	0	0	0	0
rdlD	U00096.3	3700136	3700199	+	64	0	0	0	0.50	0.50	0	0	0	0.50
recA	U00096.3	2822670	2823819	-	1150	144	185.33	168.67	165.00	85.50	142	87.33	92.83	91.83
recAX	U00096.3	2822139	2823819	-	1681	146	188.33	172.67	170.00	87.50	147	88.33	94.83	93.83
recC	U00096.3	2959060	2962507	-	3448	5	9	5.50	7.50	2	3.50	3.50	8	5
recET-ralR-rcbA-xisR-intR	U00096.3	1412000	1417386	-	5387	18	16	12.50	24	14.50	9	18	12	10.50
recF	U00096.3	3880148	3881861	-	1714	9.50	12.42	9.08	9.42	5.58	7.83	7.67	8.92	8.50
recG	U00096.3	3825210	3827291	+	2082	3.50	3.50	1.50	4	2.50	3.50	2	2.50	2.50
recN	U00096.3	2751759	2753456	+	1698	106	90	80	101	44	69	52	52	40
recQ	U00096.3	4005836	4007763	+	1928	14	22	18	21	9	6	13	12.50	16
relA	U00096.3	2911417	2914318	-	2902	22.67	16.33	20.67	19.33	12.00	15.00	13.33	16.17	16.50
relA-mazEF	U00096.3	2910756	2914277	-	3522	25.72	19.40	24.02	21.08	13.53	17.73	17.38	18.63	18.90
relBE	U00096.3	1645346	1645903	-	558	42.17	41.67	34.33	38.17	26	35.67	23	25.83	27.50
relBE-hokD	U00096.3	1645034	1645903	-	870	43.17	42.67	38.33	38.67	29	35.67	24	27.33	31.00
rem	U00096.3	1644651	1644972	-	322	6	5	14	2	5	6	2	2	8
rep	U00096.3	3960647	3962698	+	2052	27	47	27	28	31	34	29	28	25
rfaDFCL	U00096.3	3793865	3798207	+	4343	55.50	58.50	68.33	57.50	49.33	50	51	52	62.17
rfaH	U00096.3	4024333	4024965	-	633	11.83	13	9.50	8	2.50	8.67	10.50	9.83	9.83
rfaQGPSBIJYZ-waaU	U00096.3	3798239	3808180	-	9942	69.42	63.25	71.00	66.50	45.25	48.42	64.17	66.33	61.42
rfaYZ	U00096.3	3799345	3801136	-	1792	9.75	7.75	8.67	9.67	5.08	8.75	7.00	8.00	5.25
rfaZ-waaU	U00096.3	3798239	3800226	-	1988	8.42	7.75	6.33	7.33	4.42	6.42	6.67	5.33	5.92
rfbACX	U00096.3	2108337	2111049	-	2713	17	8.50	15.50	14.50	11	10.50	11.50	16.50	13.50
rfbBDACX	U00096.3	2108337	2113061	-	4725	55	43.50	50.50	47.50	50	48.50	48.50	47.50	46.50
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	U00096.3	3967800	3980696	+	12897	94	97	116	95	71	91	65	93	98
rhaBAD	U00096.3	4093448	4097472	-	4025	46.50	39	47.50	35.50	38.50	38.50	46.50	46.33	59.50
rhaD	U00096.3	4093448	4094385	-	938	7.50	7	12.50	7.50	7.50	8.50	6.50	7.33	12.50
rhaM	U00096.3	4093124	4093438	-	315	0	1	1	1	0	0	0	0.33	0
rhaSR	U00096.3	4097711	4099494	+	1784	9	10	23	11	13	14	14	15	9
rhaT	U00096.3	4099491	4100566	-	1076	6	5	9	7	1	7	8	8	7
rhlB	U00096.3	3964365	3965630	-	1266	99	132	107.50	106	59	101	81	83.50	97
rhlE	U00096.3	830783	832236	+	1454	10	10	8	10	7	8	8	3	8
rhoL	U00096.3	3966162	3966876	+	715	69.33	63	77	77.83	58.67	67	54.33	59	67.83
rhoL-rho	U00096.3	3966162	3967731	+	1570	148.33	137	156	154.83	125.67	148	126.33	145	132.83
rhsA-yibA	U00096.3	3762183	3767179	+	4997	17.50	13	7	12	3	11.50	7	7	7
rhsB	U00096.3	3619044	3623427	+	4384	21	19	14	15	4	15	11	6	8
rhsC-ybfB	U00096.3	729379	734102	+	4724	15	22	22	21	8	29	15	15	14
rhsD-ybbC-ylbH-ybbD	U00096.3	523066	529130	+	6065	16	13	16	15	9	10	10	2	4
rhsE-ydcD	U00096.3	1527890	1530404	+	2515	3	1	3	1	0	0	0	1	3
rhtA	U00096.3	849210	850304	-	1095	5.50	10	9.50	8	4	5	2.50	2.50	6
rhtB	U00096.3	4008439	4009059	-	621	9	3	4.50	3.50	1	1.50	0.50	0.50	1
rhtC	U00096.3	4007739	4008377	+	639	5	3	3	3	3	1	1	2.50	1
ribA	U00096.3	1338512	1339234	-	723	118	102	138	121.50	92	102.50	83	97	92.50
ribC	U00096.3	1742601	1743458	-	858	10	15	14	15	11	13.50	12.50	12	12
ribE-nusB-thiL-pgpA	U00096.3	434504	437107	+	2604	60	72.50	83.50	75	60.50	74.50	70	70	70
ribF-ileS-lspA-fkpB-ispH	U00096.3	21383	27279	+	5897	145.42	119.92	143.00	132.50	104.08	121.58	131.17	153.17	138.50
ridA	U00096.3	4470527	4470946	-	420	17	15	20	13	9	16	4	12	14
rihA	U00096.3	683477	684602	-	1126	6.67	10.33	8.00	10.50	4.83	9.50	6.50	4.33	5.17
rihB	U00096.3	2254245	2255252	-	1008	3	0	0	0	0	0	0	2	0
rihC	U00096.3	27293	28207	+	915	7.75	4.25	4.50	2	3.25	7.25	7.50	3.50	7
rimJ	U00096.3	1125522	1126146	+	625	14	23	34	22.50	8	23	18.50	13	31.50
rimK-ybjN	U00096.3	891876	893433	+	1558	20.00	17.00	24.83	16.67	10.17	18.00	17.17	21.17	15.17
rimL	U00096.3	1498743	1499477	+	735	72.50	62.50	80.50	61.50	50	60	56.50	57.50	58
rimO	U00096.3	876710	878070	-	1361	5	1	5	6	3	4	1	3	1
rimP-nusA-infB	U00096.3	3313185	3318175	-	4991	62.30	63.75	73.43	61.00	54.07	58.23	54.98	66.17	62.70
rirA-rfaQGPSBIJYZ-waaU	U00096.3	3798239	3808238	-	10000	69.42	63.25	71.00	66.50	45.25	48.42	64.17	66.33	61.42
rlhA	U00096.3	1506781	1508742	+	1962	24	33	27	30	17	22	27	33	26
rlmA	U00096.3	1906251	1907086	-	836	6	5	7.50	4	5	2.50	6	1	4
rlmD	U00096.3	2913699	2915043	-	1345	28.33	27.00	25.17	33.50	16.67	22.00	19.33	29.67	37.00
rlmE-ftsH	U00096.3	3324942	3327760	-	2819	522	419	467	423.50	346.50	425.50	416.50	464	424
rlmG	U00096.3	3234739	3235892	-	1154	6	2	4	7	4	3	4	4	5
rlmI	U00096.3	1028779	1030001	-	1223	43	39	54	43	35.50	48	31	30	40
rlmJ	U00096.3	3645350	3646227	+	878	7	14	12.50	8	6.50	11.50	3.50	7.50	9
rlmL-uup	U00096.3	1007672	1011871	+	4200	92.50	96	84	76	68	102	64.50	79	90
rlmM	U00096.3	2940143	2941243	-	1101	14	18	15	22	7	24	12	19	13
rlmN	U00096.3	2643129	2644283	-	1155	11	11	15	27	7	16	10	17	9
rluB	U00096.3	1326852	1327727	+	876	2	4	4	3	5	3	3	3	3.50
rluC	U00096.3	1144940	1145899	+	960	15	25	28	22	18	25	16	33	18
rluD-pgeF	U00096.3	2734303	2736011	-	1709	50	50.50	54.50	48.50	39.50	43.50	39	46.50	49
rluE-nudJ	U00096.3	1193827	1194951	-	1125	9	3	5	9	5	8	2	10	6
rluF	U00096.3	4230162	4231226	+	1065	15.50	18.50	26.50	19	13.50	17	14.50	16	23
rmf	U00096.3	1015650	1015924	+	275	174	167.50	203	177	165	184	178	198	185
rmuC	U00096.3	4017333	4018760	+	1428	12.50	14.50	17.50	8	7.50	10.50	13	13	8
rna	U00096.3	644197	645034	-	838	65	70.50	81.50	57.50	41.50	65	41	58.50	64
rnb	U00096.3	1346942	1349129	-	2188	31	32.50	37	27	18.50	27	28.50	35.50	28.50
rnc-era	U00096.3	2702481	2704223	-	1743	25.50	36.50	37	34	17.50	26	24.50	28	24.50
rnc-era-recO-pdxJ-acpS	U00096.3	2700618	2704223	-	3606	38	58.33	51	47.50	29	37	36.50	40	37.67
rnd	U00096.3	1886864	1888061	-	1198	12.50	13	11.50	12	16.50	9.50	7	6.50	5.50
rne	U00096.3	1141182	1144873	-	3692	43.50	50.50	58	59.50	28.50	35.50	37	43	40
rnhA	U00096.3	235535	236041	-	507	17.50	27.50	32	24.50	20	24.50	18.50	26	33.50
rnk	U00096.3	643557	644180	-	624	47.50	49	42	29	41.50	40.50	30.50	52.50	51.50
rnlA	U00096.3	2765906	2766991	+	1086	38.83	47.17	43.17	44.33	32.50	37.00	30.17	35.67	30.50
rnlAB	U00096.3	2765894	2767355	+	1462	49.83	57.17	52.17	53.83	38.00	45.50	35.67	38.17	35.50
rnlB	U00096.3	2766707	2767355	+	649	34.67	43.33	38.33	41.83	23.83	36.83	20.50	29.17	19.00
rnpB	U00096.3	3269962	3270592	-	631	2.50	4.50	5.50	8	2.50	5.50	2	1.50	4.50
rnt-lhr	U00096.3	1728320	1733740	+	5421	11.50	10.33	11.50	12	7	6	9	13	11
rob	U00096.3	4634441	4635353	-	913	36.50	36	39	32	21.50	19.50	28	27.50	30
roxA	U00096.3	1187119	1188240	-	1122	24	26	16	24	22	18	26	18	18
rpe-gph-trpS	U00096.3	3512634	3515153	-	2520	15.25	14.75	17.45	17.15	10.80	14.45	15.55	14.10	13.10
rph	U00096.3	3815807	3816580	-	774	1	1.50	1.50	1.50	1.50	1	0.50	0.50	1.50
rph-pyrE	U00096.3	3815096	3816580	-	1485	3	3.50	1.50	1.50	1.50	2	1.50	1.50	1.50
rpiA	U00096.3	3058644	3059353	-	710	36	37	48.50	26	25	25	27	36	31
rpiB	U00096.3	4313257	4313827	+	571	2	1	1	3	2	2	0	0	1
rplJL-rpoBC	U00096.3	4179623	4189613	+	9991	1019.15	999.82	1065.99	1014.32	852.16	946.32	930.49	1019.15	1017.49
rplKAJL-rpoBC	U00096.3	4178354	4189613	+	11260	1317.15	1313.82	1410.99	1302.32	1119.16	1259.32	1212.49	1313.15	1349.49
rplL	U00096.3	4180530	4180925	+	396	455.66	449.33	475.33	465.99	404.99	455.33	432.33	448.66	460.99
rplM-rpsI	U00096.3	3377756	3378808	-	1053	566.50	555.50	647.50	555	470	571	546.50	577.50	604
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	U00096.3	3442618	3448222	-	5605	1946	1971	2107	2014	1723	1991	1896	2038	2160
rplT	U00096.3	1799363	1799763	-	401	107.00	112.40	123.80	112.80	94.80	113.00	103.20	105.00	109.80
rplT-pheM	U00096.3	1799161	1799763	-	603	111.25	114.90	130.05	118.80	97.55	116.50	105.95	108.00	113.55
rplU-rpmA	U00096.3	3332862	3333516	-	655	105.50	92.50	111	106	70	97	94.50	110.50	108.50
rplU-rpmA-yhbE-obgE	U00096.3	3330582	3333516	-	2935	165.50	145.50	169	172	110	139	140.50	163.50	164.50
rplY_terminator_rplVp_rplY	U00096.3	2282440	2282836	+	397	305	287	362	324	233	298	286	301	326
rpmBG	U00096.3	3811209	3811995	-	787	43.20	46.20	55.30	50.05	40.30	43.15	42.15	49.00	50.65
rpmBG-mutM	U00096.3	3810343	3811995	-	1653	45.53	50.20	59.30	53.72	42.30	47.82	45.48	53.33	55.32
rpmE	U00096.3	4126854	4127262	+	409	494	508	504	507	383	498	437	492	473
rpmF-plsX-fabHDG	U00096.3	1147338	1151404	+	4067	100.47	97.00	110.72	104.77	95.27	96.55	94.82	105.32	108.60
rpmH-rnpA	U00096.3	3884065	3884852	+	788	334.50	345.50	357	351.50	312	341.50	319	339.50	361
rpmI-rplT	U00096.3	1799363	1800427	-	1065	254.26	270.26	294.73	265.80	228.93	263.80	242.13	254.86	255.86
rpnA	U00096.3	3543167	3544045	+	879	5	2	9	6	7	8	7	6	8
rpnB	U00096.3	2422649	2423539	-	891	20	24	17	6	12	19	19	19	16
rpnD	U00096.3	4568998	4569918	+	921	9	12	7	8	2	5	11	3	4
rpnE-ypaA	U00096.3	2356904	2358001	+	1098	5	3	3	2	3	5	3	3	2
rpoBC	U00096.3	4181063	4189613	+	8551	382.99	370.99	401.66	385.33	305.66	346.99	337.66	384.99	375.99
rpoD	U00096.3	3212473	3214962	+	2490	101	93.50	98	95	62.50	87	69	75.50	99
rpoE-rseABC	U00096.3	2707322	2710393	-	3072	154.83	167.16	155.33	160.33	112.50	152.83	126.50	122.66	106.17
rpoH	U00096.3	3599887	3601003	-	1117	422	454	471	410	379	425	402	421	439
rpoN-hpf-ptsN-yhbJ-npr	U00096.3	3344662	3348289	+	3628	63.70	69.50	89.50	66	58.50	67	67.50	66	68.20
rpoS	U00096.3	2866559	2868118	-	1560	170	154	203	171.50	121	151.50	132	152.50	162
rpoZ-spoT-trmH-recG	U00096.3	3822077	3827291	+	5215	96.50	82	103	82	72	78	68	91.50	75
rppH-ptsP	U00096.3	2966188	2968993	-	2806	41	57	50	54	59	51	65	53	68
rprA	U00096.3	1770372	1770477	+	106	0	2	0	0	0	1	2	0	1
rpsA-ihfB	U00096.3	961717	964173	+	2457	443.83	422.67	494.33	451.50	364.83	420.33	412.83	434.83	444.83
rpsB-tsf	U00096.3	189712	191738	+	2027	954	938	999	899	801	902	900	1015	1030
rpsF-priB-rpsR-rplI	U00096.3	4425025	4426557	+	1533	133	127	167	144	95	134	120	120	140
rpsI	U00096.3	3377756	3378290	-	535	55.50	54.50	75.50	51	40	49	46.50	56.50	51
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	U00096.3	3448267	3453442	-	5176	1491	1453	1635	1559	1256	1445	1402	1522	1588
rpsLG-fusA-tufA	U00096.3	3470145	3474621	-	4477	831.16	812.50	870.50	844.33	677.83	775.50	780.83	839.16	873.16
rpsMKD-rpoA-rplQ	U00096.3	3439581	3442565	-	2985	894	940	1088	939	771	808	875	992	989
rpsO	U00096.3	3311372	3311786	-	415	22.33	20.67	16.33	17.00	13.33	16.00	18.00	16.67	24.33
rpsO-pnp	U00096.3	3308999	3311786	-	2788	41.08	43.75	42.25	34.58	29.08	37.08	38.17	39.92	45.42
rpsP-rimM-trmD-rplS	U00096.3	2744115	2746254	-	2140	411	422	424	427	340.50	397.50	366	427.50	428.50
rpsT	U00096.3	20771	21210	-	440	461	445	495	458	416	470	426	494	501
rpsU	U00096.3	3210646	3211072	+	427	118	114.50	152	124.50	115	117.50	112.83	140.50	138.50
rpsU-dnaG-rpoD	U00096.3	3210646	3214962	+	4317	278	254	299	262.50	205.50	247.50	224.83	261	276.50
rraA	U00096.3	4118845	4119358	-	514	81	89	95	86.50	75.50	90.50	86.50	86	94
rraB	U00096.3	4478384	4478889	+	506	55	61	61.50	61	48	56	50.50	51.50	48
rrfG	U00096.3	2726069	2726218	-	150	0	2	0	1	0.50	0	0.50	0.50	2.50
rrlA-rrfA	U00096.3	4037489	4040636	+	3148	165.50	182	173	169	104	134.50	119.50	90	93.50
rrlB-rrfB	U00096.3	4168611	4171962	+	3352	150	171.50	161	169.50	88.50	122.50	98	81.50	95.50
rrlE-rrfE	U00096.3	4210013	4213209	+	3197	166.00	167.83	164.50	176.17	98.33	124.83	93.33	85.50	98
rrlH-rrfH	U00096.3	225729	228875	+	3147	163	196.50	158	179.50	101.50	136	113	96	96.50
rrsA-ileT-alaT-rrlA-rrfA	U00096.3	4035239	4040636	+	5398	331.50	326	342	323	245	282.50	240.50	226	248.50
rrsB-gltT-rrlB-rrfB	U00096.3	4166367	4171962	+	5596	332	344.50	329	347.50	220.50	272.50	231	238.50	235.50
rrsC-gltU-rrlC-rrfC	U00096.3	3941516	3947067	+	5552	468	521	502	483	330	415.50	347	312	314.50
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	U00096.3	3423371	3429047	-	5677	1212	1184	1169	1154	750	944	782	699	776
rrsE-gltV-rrlE-rrfE	U00096.3	4207863	4213209	+	5347	298.00	339.83	325.50	306.17	202.33	248.83	201.33	230.50	246
rrsG-gltW-rrlG-rrfG	U00096.3	2726069	2731448	-	5380	1203	1152	1173	1183	708.50	872	720.50	682.50	799.50
rrsH-ileV-alaV-rrlH-rrfH	U00096.3	223485	228875	+	5391	317	365.50	336	373.50	216.50	307	262	260	272.50
rsd	U00096.3	4196332	4196954	-	623	19	25	15	22.50	14	22.50	10	12	14
rseABC	U00096.3	2707322	2709632	-	2311	144.33	155.66	143.33	150.33	106.00	142.33	114.00	111.66	97.67
rseD-rpoE-rseABC	U00096.3	2707322	2710339	-	3018	154.83	167.16	154.83	160.33	112.50	152.83	126.50	121.66	106.17
rseP	U00096.3	196470	197898	+	1429	27.17	22.75	24.00	28.50	15.50	20.42	19.00	23.25	24.83
rseX	U00096.3	2033649	2033739	+	91	0	0	0	0	0	0	0	0	0
rsfS-rlmH-mrdAB-rlpA	U00096.3	664102	669072	-	4971	35	27	40	26	26	20	35	25	34
rsgA	U00096.3	4390457	4391566	-	1110	15.50	21.50	19.50	17.50	13.50	16.50	6	15.50	15.50
rsmA-apaGH	U00096.3	50380	52588	-	2209	11.85	13.90	12.20	13.00	10.75	12.90	11.65	15.55	17.80
rsmB	U00096.3	3434991	3436496	+	1506	45.50	42	38	30	27	39.50	35.50	32.50	34
rsmC	U00096.3	4606669	4607868	-	1200	41	36	45	40.50	34	43.50	34	40	40
rsmD-yhhL	U00096.3	3604297	3605248	+	952	29	29	38	22	18	24	24	31	23.50
rsmE-gshB	U00096.3	3091018	3092828	+	1811	20.50	27.50	17.50	26.50	16.50	20.50	17.50	16	18
rsmF	U00096.3	1920223	1921662	+	1440	6	3	9	4	6	2	8	3	3
rsmG	U00096.3	3923057	3923756	-	700	8.50	7.50	7	8.33	8.17	4	4.67	5.33	5.50
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	U00096.3	90010	107474	+	17465	251.94	238.28	264.34	250.10	186.65	220.87	208.47	226.93	223.02
rspA-rspB	U00096.3	1652896	1655171	-	2276	9	9	12	8	7	8	6	13	7
rssAB	U00096.3	1289106	1291255	+	2150	29	29.33	29.83	27.17	17.17	28.17	22.50	24	19.83
rssB	U00096.3	1290220	1291255	+	1036	23	23	19.50	19.50	13.50	19.50	14.50	18	13.50
rstAB	U00096.3	1682138	1684183	+	2046	7	8	12	10	8	9	10.50	11	9.50
rsuA	U00096.3	2279788	2280548	-	761	45	45	62	52	59	64	57	60	63
rsxABCDGE-nth	U00096.3	1705755	1712158	+	6404	15.50	21	15	18	10.50	8.50	14.50	14.50	8
rtcBA	U00096.3	3555833	3558107	-	2275	6	4	11	5	6.50	3	7	9	4
rtcR	U00096.3	3558238	3559866	+	1629	4	2	5	3	2	3	1	1	0
rttR	U00096.3	1287066	1287236	-	171	0	0	0	0	0	0.33	0	0	0
rutABCDEFG	U00096.3	1068511	1074026	-	5516	3	11	7	7	4	6	8	2	4
rutR	U00096.3	1074113	1074880	+	768	6	6	7	6	4	3	6	8	3
ruvAB	U00096.3	1944219	1946024	-	1806	28	23	27	26	22	28	27	27	25
ruvC	U00096.3	1946815	1947439	-	625	1.67	1.33	2.33	3.67	1.00	3.25	1.33	1.00	2.00
rybA-mntS	U00096.3	852725	853064	-	340	77	103.50	77.50	107	49.50	102.50	42.50	58	33
rybB	U00096.3	887979	888057	-	79	0	1.50	0	0	0	0	0	0	0
rydB	U00096.3	1764713	1764924	-	212	1	2.50	1	2	1	0	1	0	0
rydC	U00096.3	1491442	1491506	-	65	0	0	4	1	1	1	0	3.50	0
ryeA	U00096.3	1923064	1923337	+	274	33.33	30.00	33.17	28.83	21.67	25.17	29.83	29.67	32.83
ryfA	U00096.3	2653699	2654158	+	460	3	1	2	1	1	0	0	1	0
ryfD	U00096.3	2734153	2734295	-	143	75.50	80	82.50	82	65	74	74	72.50	76.50
ryhB	U00096.3	3580922	3581016	-	95	0	0	0	0	0	0	0	0	0
ryjA	U00096.3	4277926	4278066	-	141	30	62	32	44.50	13	38.50	33	24.50	30
ryjB	U00096.3	4527977	4528066	+	90	6.50	7.50	12	10.50	8	10.50	9.50	7.50	6.50
rzoD	U00096.3	578327	578509	+	183	0	0.50	0.50	0.50	1	0.50	1	0.50	1
rzoR	U00096.3	1423400	1423585	+	186	1	0.50	1	0.50	0.50	1	2	0.50	0.50
sad	U00096.3	1613315	1614799	-	1485	4.50	2.83	2.83	3.33	2.17	2.83	1.50	5.00	2.00
sad-glsB-yneG	U00096.3	1611966	1614799	-	2834	7.50	9.83	11.33	8.83	9.17	5.33	10	12.00	11.00
safA-ydeO	U00096.3	1582926	1584028	-	1103	0.50	1	0.50	0.50	1	1	0.50	0.50	0
sanA-yeiS	U00096.3	2232684	2233839	+	1156	9.50	3.50	2.50	5	3	2.50	6	3	4
sapABCDF	U00096.3	1351828	1357110	-	5283	41.50	56	44	28.50	32	47.50	23	34.50	41
satP	U00096.3	9928	10494	-	567	5	5	4	5	2	2	1	3	5
sbcB	U00096.3	2082728	2084183	+	1456	20	38	48	27	32	34	27	19	28
sbcDC	U00096.3	412607	416977	-	4371	50	43	37	42	37	43	35	42	35
sbmA-yaiW	U00096.3	396553	398966	+	2414	19	26	22	14	13	16	15	10	15
sbmC	U00096.3	2080789	2081325	-	537	5	5	3	5	3	5	4	6	6
sbp	U00096.3	4108834	4109884	+	1051	1	1	1	2	0	0	0	2	0
scpA-argK-scpBC	U00096.3	3060850	3066280	+	5431	12	17	13	25	9	17	13	10	6.50
sdaA	U00096.3	1896809	1898331	+	1523	132	108	133	145	100	121	124	107	128
sdaCB	U00096.3	2928035	2930943	+	2909	151.50	119.50	165	144.50	149.50	151	154	171	161
sdhCDAB	U00096.3	754958	758405	+	3448	15.33	21.83	27.67	20.67	13.17	16.33	13.83	14.67	15.50
sdhCDAB-sucABCD-sdhX	U00096.3	754958	765150	+	10193	65.83	79.00	98.33	77.83	53.17	68.83	64.50	66.67	69.50
sdhDAB	U00096.3	755404	758450	+	3047	14.33	20.33	24.67	19.67	12.67	14.33	13.33	13.67	14.00
sdhE-ygfX	U00096.3	3040416	3041099	-	684	13	27	31	26	11	18	20	22	20
sdiA	U00096.3	1996110	1996917	-	808	3	5.50	5	4	8	5.50	6	4.50	7
sdsN	U00096.3	1996880	1997057	+	178	1	3.50	1	1	1	1.50	0	3.50	2.50
sdsR	U00096.3	1923104	1923207	-	104	21.33	21.00	26.33	18.33	13.33	15.67	18.00	19.33	19.67
sdsR-pphA	U00096.3	1922313	1923385	-	1073	42.83	41.00	43.67	35.83	27.17	37.67	35.83	36.67	41.83
secB-gpsA	U00096.3	3782642	3784203	-	1562	99.17	93.00	103.67	99.33	70.00	91.00	92.33	103.33	104.50
secE-nusG	U00096.3	4177177	4178356	+	1180	57	70	62	52	44	62	51.50	50	52
secG	U00096.3	3322173	3322590	-	418	12.33	11.33	15.83	14.83	14.67	7.83	9.67	14.83	15.33
secG-leuU	U00096.3	3322035	3322590	-	556	12.33	11.33	16.83	14.83	14.67	8.83	9.67	14.83	15.33
secMA-mutT	U00096.3	107705	111433	+	3729	192	225	226	189	147	188	205	199	222
selAB	U00096.3	3758017	3761297	-	3281	56	54	87	64	44	49	44	59	56
selC	U00096.3	3836198	3836316	+	119	0	0	0	0	0	0	0	0	0
selD-topB	U00096.3	1844932	1848024	-	3093	11	13.50	20.50	13	8	12	10.50	10.50	10.50
seqA-pgm	U00096.3	712942	715242	+	2301	241	224	239	222	180	208	213	232	250
serA	U00096.3	3057178	3058549	-	1372	17	17	16	20	7	13	21	21	19
serB	U00096.3	4624856	4625863	+	1008	2.50	2.50	4.50	4	3.50	3.50	5.50	3.50	5
serB-radA	U00096.3	4624856	4627294	+	2439	6	6	5	7	5	7.50	7.50	7.50	5.50
serC	U00096.3	957579	958741	+	1163	11.50	8.50	11	13.50	8	9.50	9.50	11.50	16
serC-aroA	U00096.3	957595	960095	+	2501	18.50	14.50	20	24.50	12	16.50	14.50	25.50	24
serS	U00096.3	939365	940765	+	1401	172	185	190	157	143	136	160	177	185
serT	U00096.3	1031551	1031719	-	169	20	29	19	27	9	21	14	22	28
serU	U00096.3	2043468	2043562	-	95	2	1	1	2	2	3	1	2	1
serV-argVYZQ	U00096.3	2817784	2818697	-	914	6.50	7	11	15.50	7.50	7.50	11.50	8.50	2.50
serW	U00096.3	925843	926043	-	201	2	4	5	6.50	2.50	5	2.50	3	4
serX	U00096.3	1096979	1097676	-	698	1	1	1	0	2	1	0	0	0
setB	U00096.3	2263713	2265044	+	1332	5	5	3	8	5	2	5	2	0
setC	U00096.3	3836838	3838137	+	1300	2	2	0	1	0	0	0	0	1
sfmA	U00096.3	558062	558754	+	693	2.50	0.50	0.50	0	0.50	0	0	0	0
sfmAC	U00096.3	558062	559666	+	1605	2.50	1.50	0.50	2	0.50	0.50	1	0.50	0
sfmCD	U00096.3	558803	562300	+	3498	1	6	2	3	1	4.50	2	1.50	1
sfmHF	U00096.3	562336	563845	+	1510	0	0	3	1	3	0	1	4	2
sfsA-dksA	U00096.3	160149	161515	-	1367	457.33	485.50	523.33	488.50	380.33	421.67	377.17	417.50	443.67
sfsB	U00096.3	3334858	3335187	+	330	0	3	3	1	0	2	1	1	4
sgcXBCQAER	U00096.3	4526106	4531651	-	5546	45.50	46.50	68	45.50	34	40.50	37.50	39.50	39.50
sgrR-sroA-thiBPQ	U00096.3	72229	77338	-	5110	17.50	14	16	12.50	11	15	7.50	17	18
